
Proving the program took 0.70 seconds

Proving the program took 0.70 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	  200	2.05699		0.022222222222222223	0.035	
    1	  300	2.01159		0.044444444444444446	0.035	
    1	  400	1.96869		0.022222222222222223	0.035	
    2	  500	1.94592		0.022222222222222223	0.035	
    2	  600	1.94380		0.03333333333333333	0.035	
    3	  700	1.92605		0.03333333333333333	0.035	
    3	  800	1.90326		0.011111111111111112	0.035	
    4	  900	1.86424		0.022222222222222223	0.035	
    4	 1000	1.86913		0.022222222222222223	0.035	
    4	 1100	1.85740		0.044444444444444446	0.035	
    5	 1200	1.87795		0.05555555555555555	0.09	
    5	 1300	1.83154		0.06666666666666667	0.06	
    6	 1400	1.85147		0.08888888888888889	0.075	
    6	 1500	1.82113		0.06666666666666667	0.075	
    7	 1600	1.81876		0.1	0.08	
    7	 1700	1.80921		0.07777777777777778	0.08	
    8	 1800	1.82385		0.05555555555555555	0.08	
    8	 1900	1.79599		0.07777777777777778	0.08	
    8	 2000	1.80963		0.07777777777777778	0.08	
    9	 2100	1.79068		0.08888888888888889	0.08	
    9	 2200	1.78067		0.07777777777777778	0.08	
   10	 2300	1.78167		0.12222222222222222	0.21	
   10	 2400	1.77809		0.1	0.21	
   11	 2500	1.76735		0.15555555555555556	0.2	
   11	 2600	1.76376		0.16666666666666666	0.21	
   12	 2700	1.75639		0.18888888888888888	0.215	
   12	 2800	1.72715		0.2222222222222222	0.215	
   12	 2900	1.75227		0.26666666666666666	0.24	
   13	 3000	1.73420		0.2777777777777778	0.245	
   13	 3100	1.74195		0.2777777777777778	0.28	
   14	 3200	1.71336		0.3333333333333333	0.33	
   14	 3300	1.73563		0.3	0.33	
   14	 3374	1.71199		0.34444444444444444	0.38	

Training 15 epoch (totalling 3375 batches of size 4) took 78.86 seconds
Best val accuracy:0.34444444444444444
Test accuracy:0.38

Proving the program took 0.99 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.10687		0.044444444444444446	0.01	
    0	  100	2.05111		0.011111111111111112	0.01	
    0	  200	2.06972		0.044444444444444446	0.03	
    1	  300	2.01852		0.011111111111111112	0.03	
    1	  400	1.98038		0.03333333333333333	0.03	
    2	  500	1.94693		0.044444444444444446	0.04	
    2	  600	1.93810		0.03333333333333333	0.04	
